species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,date,year,month,day,day_of_year
Chinstrap,Dream,51,18.8,203,4100,male,2008-05-03,2008,May,3,124
Adelie,Biscoe,40.6,18.6,183,3550,male,2007-01-22,2007,January,22,22
Adelie,Biscoe,36.4,17.1,184,2850,female,2008-09-09,2008,September,9,253
Chinstrap,Dream,49.6,18.2,193,3775,male,2009-10-12,2009,October,12,285
Adelie,Dream,32.1,15.5,188,3050,female,2009-08-20,2009,August,20,232
Adelie,Torgersen,42.8,18.5,195,4250,male,2008-09-13,2008,September,13,257
Adelie,Dream,38.1,17.6,187,3425,female,2009-10-22,2009,October,22,295
Chinstrap,Dream,45.7,17.3,193,3600,female,2009-09-10,2009,September,10,253
Gentoo,Biscoe,45.1,14.5,207,5050,female,2007-11-16,2007,November,16,320
Adelie,Dream,36.9,18.6,189,3500,female,2008-02-11,2008,February,11,42
Gentoo,Biscoe,NA,14.5,215,5000,female,2007-02-25,2007,February,25,56
Adelie,Dream,38.9,18.8,190,3600,female,2008-06-24,2008,June,24,176
Gentoo,Biscoe,45.2,14.8,212,5200,female,2009-11-21,2009,November,21,325
Chinstrap,Dream,46.8,16.5,189,3650,female,2009-01-23,2009,January,23,23
Chinstrap,Dream,50.5,19.6,201,4050,male,2007-11-04,2007,November,4,308
Gentoo,Biscoe,59.6,17,230,6050,male,2007-12-02,2007,December,2,336
Chinstrap,Dream,50.5,18.4,200,3400,female,2008-03-20,2008,March,20,80
Adelie,Biscoe,40.5,18.9,180,3950,male,2007-03-18,2007,March,18,77
Adelie,Torgersen,39.5,17.4,186,3800,female,2007-08-16,2007,August,16,228
Gentoo,Biscoe,45,15.4,220,5050,male,2008-02-27,2008,February,27,58
Adelie,Torgersen,40.9,16.8,191,3700,female,2008-03-05,2008,March,5,65
Gentoo,Biscoe,NA,14.7,214,4850,female,2009-11-20,2009,November,20,324
Gentoo,Biscoe,46.2,14.1,217,4375,female,2009-07-20,2009,July,20,201
Chinstrap,Dream,49.2,18.2,195,4400,male,2007-10-24,2007,October,24,297
Adelie,Biscoe,45.6,20.3,191,4600,male,2009-06-26,2009,June,26,177
Adelie,Biscoe,37.9,18.6,193,2925,female,2009-10-24,2009,October,24,297
Adelie,Dream,41.5,18.5,201,4000,male,2009-01-14,2009,January,14,14
Adelie,Biscoe,40.1,18.9,188,4300,male,2008-09-19,2008,September,19,263
Adelie,Biscoe,39.6,20.7,191,3900,female,2009-06-20,2009,June,20,171
Adelie,Torgersen,41.8,19.4,198,4450,male,2008-06-19,2008,June,19,171
Chinstrap,Dream,52.8,20,205,4550,male,2008-12-18,2008,December,18,353
Adelie,Dream,41.3,20.3,194,3550,male,2008-06-14,2008,June,14,166
Adelie,Dream,43.2,18.5,192,4100,male,2008-11-09,2008,November,9,314
Adelie,Biscoe,39.7,18.9,184,3550,male,2009-09-24,2009,September,24,267
Adelie,Biscoe,42.7,18.3,196,4075,male,2009-04-28,2009,April,28,118
Gentoo,Biscoe,43.4,14.4,218,4600,female,2009-11-18,2009,November,18,322
Gentoo,Biscoe,49.6,15,216,4750,male,2008-07-22,2008,July,22,204
Gentoo,Biscoe,46.4,15.6,221,5000,male,2008-03-07,2008,March,7,67
Gentoo,Biscoe,53.4,15.8,219,5500,male,2009-09-20,2009,September,20,263
Gentoo,Biscoe,42.6,13.7,213,4950,female,2008-11-14,2008,November,14,319
Adelie,Torgersen,44.1,18,210,4000,male,2009-02-10,2009,February,10,41
Adelie,Biscoe,41.4,18.6,191,3700,male,2008-07-27,2008,July,27,209
Gentoo,Biscoe,44.9,13.3,213,5100,female,2008-05-17,2008,May,17,138
Gentoo,Biscoe,55.1,16,230,5850,male,2009-08-25,2009,August,25,237
Gentoo,Biscoe,46.4,15,216,4700,female,2008-07-24,2008,July,24,206
Adelie,Torgersen,36.7,18.8,187,3800,female,2008-04-06,2008,April,6,97
Gentoo,Biscoe,50,16.3,230,5700,male,2007-10-24,2007,October,24,297
Adelie,Torgersen,NA,NA,NA,NA,NA,2007-04-06,2007,April,6,96
Adelie,Torgersen,36.6,17.8,185,3700,female,2007-02-06,2007,February,6,37
Adelie,Torgersen,38.8,17.6,191,3275,female,2009-07-20,2009,July,20,201
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009-04-06,2009,April,6,96
Chinstrap,Dream,49.3,19.9,203,4050,male,2009-04-11,2009,April,11,101
Gentoo,Biscoe,48.4,14.4,203,4625,female,2009-10-13,2009,October,13,286
Chinstrap,Dream,47,17.3,185,3700,female,2007-04-10,2007,April,10,100
Adelie,Torgersen,39.3,20.6,190,3650,male,2007-10-12,2007,October,12,285
Gentoo,Biscoe,51.3,14.2,218,5300,male,2009-02-26,2009,February,26,57
Gentoo,Biscoe,45.3,13.7,210,4300,female,2008-08-22,2008,August,22,235
Gentoo,Biscoe,41.7,14.7,210,4700,female,2009-09-20,2009,September,20,263
Adelie,Dream,39.2,21.1,196,4150,male,2007-09-26,2007,September,26,269
Gentoo,Biscoe,47.2,13.7,214,4925,female,2009-04-22,2009,April,22,112
Adelie,Dream,36,17.1,187,3700,female,2009-11-20,2009,November,20,324
Adelie,Biscoe,40.5,17.9,187,3200,female,2007-05-04,2007,May,4,124
Gentoo,Biscoe,50.1,15,225,5000,male,2008-10-17,2008,October,17,291
Chinstrap,Dream,52.7,19.8,197,3725,male,2007-12-23,2007,December,23,357
Gentoo,Biscoe,43.2,14.5,208,4450,female,2008-01-21,2008,January,21,21
Adelie,Dream,40.2,17.1,193,3400,female,2009-05-15,2009,May,15,135
Gentoo,Biscoe,46.9,14.6,222,4875,female,2009-02-25,2009,February,25,56
Adelie,Torgersen,38.6,21.2,191,3800,male,2007-07-12,2007,July,12,193
Gentoo,Biscoe,44.5,14.3,216,4100,NA,2007-10-25,2007,October,25,298
Gentoo,Biscoe,52.2,17.1,228,5400,male,2009-01-28,2009,January,28,28
Gentoo,Biscoe,48.4,16.3,220,5400,male,2008-08-26,2008,August,26,239
Adelie,Biscoe,37.6,17,185,3600,female,2008-06-20,2008,June,20,172
Gentoo,Biscoe,40.9,13.7,214,4650,female,2007-06-24,2007,June,24,175
Chinstrap,Dream,50,19.5,196,3900,male,2007-07-17,2007,July,17,198
Chinstrap,Dream,54.2,20.8,201,4300,male,2008-07-22,2008,July,22,204
Adelie,Dream,41.1,19,182,3425,male,2007-07-20,2007,July,20,201
Chinstrap,Dream,52,20.7,210,4800,male,2008-08-21,2008,August,21,234
Adelie,Biscoe,35,17.9,190,3450,female,2008-04-28,2008,April,28,119
Gentoo,Biscoe,50.2,14.3,218,5700,male,2007-11-12,2007,November,12,316
Gentoo,Biscoe,47.2,13.7,214,4925,female,2009-04-22,2009,April,22,112
Gentoo,Biscoe,46.8,16.1,215,5500,male,2009-09-08,2009,September,8,251
Adelie,Dream,42.2,18.5,180,3550,female,2007-05-28,2007,May,28,148
Adelie,Biscoe,41.6,18,192,3950,male,2008-05-12,2008,May,12,133
Adelie,Biscoe,35.5,16.2,195,3350,female,2008-10-18,2008,October,18,292
Gentoo,Biscoe,55.9,17,228,5600,male,2009-01-15,2009,January,15,15
Adelie,Torgersen,43.1,19.2,197,3500,male,2009-05-02,2009,May,2,122
Gentoo,Biscoe,49.5,NA,224,5650,male,2009-03-08,2009,March,8,67
Gentoo,Biscoe,50,15.2,218,5700,male,2007-10-25,2007,October,25,298
Gentoo,Biscoe,42,13.5,210,4150,female,2007-08-28,2007,August,28,240
Chinstrap,Dream,46.4,18.6,190,3450,female,2007-07-22,2007,July,22,203
Gentoo,Biscoe,49.9,16.1,213,5400,male,2009-11-11,2009,November,11,315
Adelie,Torgersen,37.3,20.5,199,3775,male,2009-11-14,2009,November,14,318
Gentoo,Biscoe,50.4,15.7,222,5750,male,2009-11-06,2009,November,6,310
Gentoo,Biscoe,49.4,15.8,216,4925,male,2009-09-12,2009,September,12,255
Adelie,Torgersen,36.2,17.2,187,3150,female,2009-09-15,2009,September,15,258
Chinstrap,Dream,46.5,17.9,192,3500,female,2007-06-22,2007,June,22,173
Chinstrap,Dream,49.8,17.3,198,3675,female,2009-02-27,2009,February,27,58
Chinstrap,Dream,47.6,18.3,195,3850,female,2008-01-11,2008,January,11,11
Gentoo,Biscoe,46.5,13.5,210,4550,female,2007-09-05,2007,September,5,248
Adelie,Dream,NA,19.2,189,3950,male,2008-05-27,2008,May,27,148
Adelie,Torgersen,42.9,17.6,196,4700,male,2008-12-08,2008,December,8,343
Adelie,Dream,42.3,21.2,191,4150,male,2007-03-19,2007,March,19,78
Chinstrap,Dream,46.2,17.5,187,3650,female,2008-07-22,2008,July,22,204
Chinstrap,Dream,43.5,18.1,202,3400,female,2009-11-13,2009,November,13,317
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007-09-18,2007,September,18,261
Gentoo,Biscoe,45.5,13.7,214,4650,female,2007-10-17,2007,October,17,290
Gentoo,Biscoe,43.3,14,208,4575,female,2009-05-28,2009,May,28,148
Gentoo,Biscoe,48.2,15.6,221,5100,male,2008-11-15,2008,November,15,320
Chinstrap,Dream,45.4,18.7,188,3525,female,2007-02-27,2007,February,27,58
Gentoo,Biscoe,49.8,15.9,229,5950,male,2009-08-15,2009,August,15,227
Adelie,Torgersen,34.6,21.1,198,4400,male,2007-09-07,2007,September,7,250
Adelie,Torgersen,45.8,NA,197,4150,male,2008-01-17,2008,January,17,17
Gentoo,Biscoe,45.4,14.6,211,4800,female,2007-02-23,2007,February,23,54
Gentoo,Biscoe,50.8,15.7,226,5200,male,2009-04-15,2009,April,15,105
Gentoo,Biscoe,48.7,15.1,222,5350,male,2007-02-24,2007,February,24,55
Adelie,Dream,38.1,18.6,190,3700,female,2008-03-05,2008,March,5,65
Chinstrap,Dream,46.6,17.8,193,3800,female,2007-07-17,2007,July,17,198
Chinstrap,Dream,46.9,16.6,192,2700,female,2008-03-25,2008,March,25,85
Gentoo,Biscoe,50.5,15.2,216,5000,female,2009-06-23,2009,June,23,174
Adelie,Dream,37.3,16.8,192,3000,female,2009-01-01,2009,January,1,1
Adelie,Torgersen,38.7,19,195,3450,female,2007-02-05,2007,February,5,36
Adelie,Dream,39.2,18.6,190,4250,male,2009-12-17,2009,December,17,351
Gentoo,Biscoe,48.4,14.6,213,5850,male,2007-03-15,2007,March,15,74
Gentoo,Biscoe,46.2,14.4,214,4650,NA,2008-10-20,2008,October,20,294
Adelie,Dream,39.7,17.9,193,4250,male,2009-08-27,2009,August,27,239
Gentoo,Biscoe,50,15.9,224,5350,male,2009-05-07,2009,May,7,127
Adelie,Torgersen,35.5,17.5,190,3700,female,2008-03-16,2008,March,16,76
Chinstrap,Dream,49,19.6,212,4300,male,2009-08-22,2009,August,22,234
Chinstrap,Dream,50.2,18.7,198,3775,female,2009-11-15,2009,November,15,319
Gentoo,Biscoe,47.6,14.5,215,5400,male,2007-03-28,2007,March,28,87
Gentoo,Biscoe,45.2,NA,215,5300,male,2008-02-03,2008,February,3,34
Gentoo,Biscoe,NA,14.3,210,4600,female,2007-04-06,2007,April,6,96
Gentoo,Biscoe,51.5,NA,230,5500,male,2009-09-19,2009,September,19,262
Chinstrap,Dream,46.7,17.9,195,3300,female,2007-02-02,2007,February,2,33
Adelie,Torgersen,37.8,17.3,180,3700,NA,2007-07-18,2007,July,18,199
Adelie,Torgersen,NA,19,190,3600,female,2008-04-20,2008,April,20,111
Gentoo,Biscoe,50,15.3,220,5550,male,2007-01-13,2007,January,13,13
Adelie,Torgersen,39,17.1,191,3050,female,2009-01-21,2009,January,21,21
Gentoo,Biscoe,44.9,13.8,212,4750,female,2009-05-26,2009,May,26,146
Chinstrap,Dream,52,18.1,201,4050,male,2007-12-04,2007,December,4,338
Adelie,Dream,36.3,19.5,190,3800,male,2008-11-18,2008,November,18,323
Adelie,Torgersen,41.4,18.5,202,3875,male,2009-09-16,2009,September,16,259
Adelie,Dream,40.6,17.2,187,3475,male,2009-05-19,2009,May,19,139
Adelie,Biscoe,37.8,20,190,4250,male,2009-03-03,2009,March,3,62
Adelie,Torgersen,39.6,17.2,196,3550,female,2008-04-07,2008,April,7,98
Adelie,Torgersen,39.1,18.7,181,3750,male,2007-05-18,2007,May,18,138
Adelie,Torgersen,40.3,18,195,3250,female,2007-05-13,2007,May,13,133
Gentoo,Biscoe,48.1,15.1,209,5500,male,2009-04-02,2009,April,2,92
Gentoo,Biscoe,43.5,14.2,220,4700,female,2008-11-16,2008,November,16,321
Adelie,Torgersen,35.7,17,189,3350,female,2009-11-20,2009,November,20,324
Adelie,Biscoe,39,17.5,186,3550,female,2008-01-21,2008,January,21,21
Adelie,Biscoe,40.6,18.8,193,3800,male,2008-02-18,2008,February,18,49
Adelie,Biscoe,42,19.5,200,4050,male,2008-12-17,2008,December,17,352
Adelie,Torgersen,42.5,20.7,197,4500,male,2007-07-11,2007,July,11,192
Adelie,Biscoe,38.2,18.1,185,3950,male,2007-06-13,2007,June,13,164
Adelie,Biscoe,37.8,18.3,174,3400,female,2007-10-10,2007,October,10,283
Gentoo,Biscoe,52.5,15.6,221,5450,male,2009-01-06,2009,January,6,6
Gentoo,Biscoe,49.8,16.8,230,5700,male,2008-11-14,2008,November,14,319
Adelie,Dream,37.8,18.1,193,3750,male,2009-07-06,2009,July,6,187
Adelie,Biscoe,38.1,16.5,198,3825,female,2009-09-10,2009,September,10,253
Adelie,Biscoe,39.6,20.7,191,3900,female,2009-06-20,2009,June,20,171
Gentoo,Biscoe,43.5,15.2,213,4650,female,2009-05-19,2009,May,19,139
Gentoo,Biscoe,NA,NA,NA,NA,NA,2009-01-12,2009,January,12,12
Chinstrap,Dream,45.2,17.8,198,3950,female,2007-01-20,2007,January,20,20
Adelie,Biscoe,38.6,17.2,199,3750,female,2009-02-13,2009,February,13,44
Adelie,Dream,36.5,18,182,3150,female,2007-05-05,2007,May,5,125
Adelie,Biscoe,37.7,16,183,3075,female,2009-09-11,2009,September,11,254
Chinstrap,Dream,NA,19.5,210,3950,male,2008-10-05,2008,October,5,279
Chinstrap,Dream,45.5,17,196,3500,female,2008-03-08,2008,March,8,68
Adelie,Dream,40.8,18.9,208,4300,male,2008-09-05,2008,September,5,249
Gentoo,Biscoe,47.5,14.2,NA,4600,female,2008-09-04,2008,September,4,248
Gentoo,Biscoe,42.8,14.2,209,4700,female,2007-06-04,2007,June,4,155
Gentoo,Biscoe,47.3,15.3,222,5250,male,2007-12-12,2007,December,12,346
Adelie,Dream,37.5,18.9,179,2975,NA,2007-04-28,2007,April,28,118
Gentoo,Biscoe,45.1,14.4,210,4400,female,2008-11-15,2008,November,15,320
Gentoo,Biscoe,47.6,14.5,215,5400,male,2007-03-28,2007,March,28,87
Gentoo,Biscoe,45.3,13.8,208,4200,female,2008-09-14,2008,September,14,258
